original/ratio/verb/c4first/1/mask
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
| 1_adacos_classification  |           0 |               nan   |                 454.7 |                    682.3 |     69.6 |      76.2 |      72.8 |      58.4 |      66.4 |      62.2 |
| 2_vanilla                |           0 |               966.3 |                 437   |                    509.3 |     49.1 |      57   |      52.7 |      37.9 |      44.6 |      40.9 |
| 2_siamese_distance       |           0 |              3063   |                 660   |                    852.3 |     66.4 |      64.5 |      65.4 |      55.8 |      52.4 |      54   |
| 2_triplet_distance       |           0 |              1727.3 |                 448.3 |                    538.7 |     70.8 |      70.8 |      70.8 |      61.5 |      60.5 |      60.9 |
| 2_softmax_classification |           0 |              2421.7 |                 947.7 |                   1226.3 |     81   |      62.9 |      70.6 |      73   |      51   |      59.8 |
| 2_arcface_classification |           0 |              1299.3 |                 384.7 |                    426   |     63.2 |      69   |      66   |      53.5 |      58.5 |      55.8 |
| 2_adacos_classification  |           0 |              2140   |                 715   |                    871.3 |     78.2 |      67.5 |      72.4 |      69.8 |      56.4 |      62.2 |




original/frequency_100/verb/c4first/1/mask
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|:-------------------------|------------:|--------------------:|----------------------:|-------------------------:|---------:|----------:|----------:|----------:|----------:|----------:|
| 1_vanilla                |           1 |               nan   |                 354.7 |                    599   |     23.8 |      33.9 |      28   |      13.3 |      19.5 |      15.8 |
| 1_siamese_distance       |           1 |               nan   |                 363.7 |                    719.7 |     25.3 |      41.4 |      31.4 |      13.5 |      26.6 |      17.9 |
| 1_triplet_distance       |           1 |               nan   |                 444.7 |                    677.7 |     32.7 |      41.7 |      36.7 |      18.5 |      26.2 |      21.6 |
| 1_softmax_classification |           1 |               nan   |                 374.3 |                    818.7 |     28.4 |      52.6 |      36.8 |      14.6 |      37.6 |      21   |
| 1_arcface_classification |           1 |               nan   |                 588.7 |                    737.7 |     35.8 |      45   |      39.9 |      21.6 |      29.5 |      24.9 |
| 1_adacos_classification  |           1 |               nan   |                 413.7 |                    809.3 |     31.8 |      46.4 |      37.7 |      17.1 |      30.9 |      22   |
| 2_vanilla                |           1 |               766   |                 421.3 |                    520.3 |     23.3 |      29.2 |      25.9 |      12   |      14.9 |      13.3 |
| 2_siamese_distance       |           1 |              1692   |                 430.7 |                    571.3 |     23   |      23.7 |      23.2 |      12.1 |      11.6 |      11.8 |
| 2_triplet_distance       |           1 |               781   |                 381.7 |                    477.3 |     25   |      31.3 |      27.8 |      13.4 |      16.4 |      14.7 |
| 2_softmax_classification |           1 |              1064.3 |                 425.3 |                    526.3 |     24   |      25.9 |      24.9 |      12.3 |      12.9 |      12.6 |
| 2_arcface_classification |           1 |               778.3 |                 393.7 |                    494.7 |     24   |      29.9 |      26.6 |      12.5 |      15.6 |      13.9 |
| 2_adacos_classification  |           1 |               866.3 |                 378.7 |                    472   |     24   |      27.4 |      25.6 |      12.6 |      13.8 |      13.1 |


original/frequency_100/verb/c4first/1/wm
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|:-------------------------|------------:|--------------------:|----------------------:|-------------------------:|---------:|----------:|----------:|----------:|----------:|----------:|
| 1_vanilla                |      0      |               nan   |                 512.7 |                    685   |     47.5 |      45.3 |      46.3 |      34   |      31.6 |      32.7 |
| 1_siamese_distance       |      0.0667 |               nan   |                 431   |                    548.7 |     56.7 |      67.2 |      61.4 |      44.7 |      55.7 |      49.4 |
| 1_triplet_distance       |      0.2    |               nan   |                 492.7 |                    745.3 |     69.2 |      68   |      68.6 |      58.7 |      57.2 |      57.9 |
| 1_softmax_classification |      0.1    |               nan   |                 419.3 |                    598.3 |     65.6 |      76.1 |      70.4 |      53.1 |      66.1 |      58.9 |
| 1_arcface_classification |      0.2667 |               nan   |                 508.7 |                    704.7 |     71.6 |      74.5 |      73   |      62.1 |      65   |      63.5 |
| 1_adacos_classification  |      0.3667 |               nan   |                 444.7 |                    640.3 |     68.9 |      75.8 |      72.2 |      57.1 |      65.8 |      61.1 |
| 2_vanilla                |      0.6667 |               767.3 |                 398.7 |                    477   |     28.4 |      37.5 |      32.2 |      15.8 |      21.4 |      18.1 |
| 2_siamese_distance       |      0.2667 |              1703   |                 450   |                    533.7 |     59.6 |      66.3 |      62.7 |      47.7 |      54.7 |      51   |
| 2_triplet_distance       |      0.5333 |               867   |                 276.7 |                    327.7 |     52.3 |      69.7 |      59.8 |      38.8 |      57.7 |      46.4 |
| 2_softmax_classification |      0.4667 |              1050.7 |                 428.7 |                    486.7 |     63.9 |      71.2 |      67.3 |      51.7 |      60.4 |      55.6 |
| 2_arcface_classification |      0.5667 |               813.7 |                 350.3 |                    412   |     46.8 |      60.9 |      52.9 |      34.3 |      47.3 |      39.7 |
| 2_adacos_classification  |      0.5    |               898.7 |                 354.7 |                    409.7 |     59   |      71.9 |      64.8 |      46.5 |      60.5 |      52.5 |


original/frequency_100/verb/c4first/1/word
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|:-------------------------|------------:|--------------------:|----------------------:|-------------------------:|---------:|----------:|----------:|----------:|----------:|----------:|
| 1_vanilla                |           0 |               nan   |                 512.7 |                    685   |     47.5 |      45.3 |      46.3 |      34   |      31.6 |      32.7 |
| 1_siamese_distance       |           0 |               nan   |                 425   |                    541   |     56.1 |      67.3 |      61.1 |      44.1 |      55.9 |      49.1 |
| 1_triplet_distance       |           0 |               nan   |                 482   |                    698.3 |     69   |      66.8 |      67.9 |      58.9 |      56   |      57.4 |
| 1_softmax_classification |           0 |               nan   |                 416.3 |                    591.3 |     65.6 |      76   |      70.4 |      53.1 |      66.1 |      58.9 |
| 1_arcface_classification |           0 |               nan   |                 491   |                    617   |     71.2 |      73.3 |      72.2 |      61.6 |      63.8 |      62.7 |
| 1_adacos_classification  |           0 |               nan   |                 417.7 |                    563.3 |     67.9 |      75.4 |      71.5 |      56.2 |      65.4 |      60.4 |
| 2_vanilla                |           0 |               785.7 |                 456.7 |                    495.3 |     45.1 |      54.2 |      49.2 |      33.3 |      40.5 |      36.5 |
| 2_siamese_distance       |           0 |              2027.7 |                 471.7 |                    562   |     59.8 |      66.4 |      62.9 |      48   |      54.8 |      51.2 |
| 2_triplet_distance       |           0 |              1218.7 |                 308.3 |                    352.7 |     62.3 |      73   |      67.2 |      50.5 |      62.8 |      56   |
| 2_softmax_classification |           0 |              1594.3 |                 539.3 |                    626.7 |     71.7 |      69.9 |      70.7 |      60.9 |      58.8 |      59.7 |
| 2_arcface_classification |           0 |               964.3 |                 339   |                    360   |     57.6 |      69.1 |      62.8 |      47   |      58.4 |      52   |
| 2_adacos_classification  |           0 |              1426.7 |                 429   |                    482.3 |     69.2 |      72   |      70.5 |      57.9 |      61.4 |      59.5 |




original/frequency_100/verb/c4first/2/mask
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|:-------------------------|------------:|--------------------:|----------------------:|-------------------------:|---------:|----------:|----------:|----------:|----------:|----------:|
| 1_vanilla                |           1 |               nan   |                 394   |                    775.3 |     24.7 |      34   |      28.6 |      14.2 |      19.7 |      16.5 |
| 1_siamese_distance       |           1 |               nan   |                 422.7 |                   1028.7 |     25.4 |      40.5 |      31.2 |      13.7 |      26   |      17.9 |
| 1_triplet_distance       |           1 |               nan   |                 506.3 |                    871.7 |     33.3 |      42.8 |      37.4 |      19.3 |      26.8 |      22.4 |
| 1_softmax_classification |           1 |               nan   |                 419.3 |                   1120   |     28.7 |      51.8 |      36.9 |      14.8 |      36.7 |      21   |
| 1_arcface_classification |           1 |               nan   |                 497   |                    884   |     32.8 |      41.5 |      36.6 |      19   |      26.4 |      22   |
| 1_adacos_classification  |           1 |               nan   |                 481.3 |                   1143.3 |     32.5 |      47.2 |      38.5 |      17.8 |      31.4 |      22.7 |
| 2_vanilla                |           1 |               853   |                 392.3 |                    445   |     25.9 |      26.8 |      26.3 |      13.1 |      12.9 |      13   |
| 2_siamese_distance       |           1 |              2624.3 |                 472.3 |                    591.7 |     23.8 |      26   |      24.8 |      12.8 |      13.2 |      12.9 |
| 2_triplet_distance       |           1 |               893   |                 343   |                    397.3 |     27.5 |      28.4 |      27.9 |      14.4 |      14.2 |      14.3 |
| 2_softmax_classification |           1 |              1531.3 |                 517   |                    595.3 |     26.5 |      26   |      26.2 |      14.2 |      13   |      13.5 |
| 2_arcface_classification |           1 |               875.7 |                 358   |                    407.3 |     26.6 |      27.5 |      27   |      13.7 |      13.5 |      13.6 |
| 2_adacos_classification  |           1 |              1091.7 |                 389   |                    443.3 |     26.4 |      26.6 |      26.5 |      14.3 |      12.9 |      13.5 |


original/frequency_100/verb/c4first/2/wm
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|:-------------------------|------------:|--------------------:|----------------------:|-------------------------:|---------:|----------:|----------:|----------:|----------:|----------:|
| 1_vanilla                |      0      |               nan   |                 596   |                    887   |     51.7 |      46   |      48.7 |      38.9 |      32.6 |      35.5 |
| 1_siamese_distance       |      0.0667 |               nan   |                 483.7 |                    671.3 |     58.2 |      67.9 |      62.6 |      46.5 |      56.6 |      50.9 |
| 1_triplet_distance       |      0.2    |               nan   |                 547   |                    929.3 |     71.7 |      68.8 |      70.2 |      62.3 |      58   |      60.1 |
| 1_softmax_classification |      0.1    |               nan   |                 465   |                    746   |     67.6 |      76.2 |      71.6 |      55.4 |      66.2 |      60.3 |
| 1_arcface_classification |      0.2667 |               nan   |                 532.7 |                    809.3 |     70.6 |      69   |      69.7 |      60.7 |      58.1 |      59.3 |
| 1_adacos_classification  |      0.3667 |               nan   |                 496   |                    805.3 |     70.9 |      75.8 |      73.2 |      59.8 |      65.8 |      62.7 |
| 2_vanilla                |      0.6667 |               854   |                 351.7 |                    398.3 |     32.6 |      36.8 |      34.6 |      18.5 |      20.4 |      19.4 |
| 2_siamese_distance       |      0.2667 |              2593.7 |                 534.3 |                    681.3 |     62.2 |      65.7 |      63.9 |      50.8 |      54.2 |      52.4 |
